iteration,trainRMSE
0,"[793.2658471512733, 793.3111926634485, 793.3633911628858, 793.3739776517865, 794.3184890233499]"
2500,"[771.5067039008011, 771.4228949655601, 771.4578358351408, 771.4657757577841, 772.3749294404428]"
5000,"[762.427490715446, 762.3868005058144, 762.4200193153714, 762.4258333131028, 763.3220905776224]"
7500,"[755.160148133503, 755.1329993393826, 755.1634000560935, 755.1674420869311, 756.052332682652]"
10000,"[748.9720907246623, 748.9515119618384, 748.9791172472546, 748.9815810818428, 749.8559927820322]"
12500,"[743.5966594745281, 743.5799669181367, 743.6049218279295, 743.6059526934125, 744.4705996930243]"
15000,"[738.8456116519352, 738.8315114569817, 738.8539644721756, 738.8536728483609, 739.7091200045894]"
17500,"[734.6276733860487, 734.6154263601019, 734.6355326064283, 734.6340178564533, 735.4808015491903]"
20000,"[730.8451879083593, 730.8343410217757, 730.8522383224645, 730.8495831908257, 731.6881633399456]"
22500,"[727.4516247975992, 727.441872285703, 727.4576986367967, 727.4539826101968, 728.2848147914557]"
25000,"[724.3836480123631, 724.3747758779866, 724.388651745706, 724.3839444975794, 725.2074269366354]"
27500,"[721.6126798354356, 721.6045320995443, 721.6165817814984, 721.6109434795618, 722.4274882458889]"
