Epoch,lossTrain,lossVal,stdDev
1,0.08325299620628357,0.06356078386306763,0.014874878339469433
2501,0.021428370848298073,0.029075009748339653,0.07574866712093353
5001,0.018363106995821,0.03378552570939064,0.10539368540048599
7501,0.014500400051474571,0.03519893065094948,0.11342296749353409
10001,0.01658913679420948,0.03316180035471916,0.10226929932832718
12501,0.027848780155181885,0.024106601253151894,0.0204585213214159
15001,0.02625623345375061,0.026433205232024193,0.05213988572359085
17501,0.029164647683501244,0.02631235495209694,0.053914282470941544
20001,0.02632354199886322,0.02650563232600689,0.04997987300157547
22501,0.029093097895383835,0.02364858239889145,0.0015079790027812123
25001,0.02909032069146633,0.02347768284380436,0.0044307224452495575
27501,0.026596728712320328,0.02400383912026882,0.032053109258413315
30001,0.029825929552316666,0.023942038416862488,0.02214525267481804
32501,0.028582343831658363,0.025035206228494644,0.0307523924857378
35001,0.02869224175810814,0.024107908830046654,0.025424497202038765
37501,0.026426155120134354,0.023746676743030548,0.013088420033454895
40001,0.02646385133266449,0.023375719785690308,0.004084437619894743
42501,0.029327457770705223,0.02333582006394863,0.0065230424515903
45001,0.02633795514702797,0.023411836475133896,0.00598940858617425
47501,0.02719731256365776,0.023272234946489334,0.004935901612043381
49999,0.03106253780424595,0.023623883724212646,0.007051688618957996
