iteration,trainRMSE
0,"[910.675246112409, 910.802038702266, 910.353463744887, 910.3219027622733, 911.8262198257567]"
1000,"[751.0810307658946, 749.0631542825755, 747.4701539161548, 747.9077241392305, 752.8411007202227]"
2000,"[747.448219168986, 743.2909058037213, 743.8453809907778, 745.4341900776508, 748.0445051197404]"
3000,"[745.7339547812618, 741.6654364661267, 742.4816516717058, 744.2086590490538, 748.6505449852771]"
4000,"[745.1350926665662, 740.6410844971787, 740.7693785158401, 742.522728024961, 745.91078529807]"
5000,"[744.9715635174998, 740.391795256322, 741.0553813105607, 742.4019416438558, 745.372588918448]"
6000,"[741.7499255587607, 733.0016570573347, 737.9294518951807, 735.1200043364652, 739.7545820267966]"
7000,"[739.6113778860239, 727.6865759985138, 727.7836289023409, 725.1014085180191, 729.9537282864968]"
8000,"[736.606641001463, 724.6417800986861, 726.3798341552681, 725.5838465803885, 729.1683200585561]"
