iteration,trainRMSE
0,"[793.3365930134742, 793.3425788824624, 793.3937995021358, 793.4061767468637, 794.3438432728153]"
2500,"[643.9085882376513, 629.978411671903, 620.8219370191791, 621.5675846874125, 628.3495272767757]"
5000,"[623.1993324061532, 588.1929253288034, 575.9787891766151, 568.5222110138727, 559.7874045554562]"
7500,"[610.0898391575057, 533.652007489121, 488.910398345373, 459.337054168398, 429.11911288701293]"
10000,"[585.0456944915258, 475.7124585769274, 447.0674431824215, 416.76951672904585, 413.4116045159675]"
12500,"[528.2909942066556, 412.27289638124836, 326.460065763474, 304.6477301252005, 269.1684692438292]"
15000,"[487.82267612970435, 386.4829518934156, 300.22412460859454, 285.5968000112569, 267.8216953519604]"
17500,"[503.6681964557075, 406.17614038894936, 376.64920311228343, 365.9263807733565, 350.53576290674533]"
20000,"[458.9505120220103, 358.99147046703575, 303.149087317006, 278.928083053832, 299.9059125537143]"
22500,"[466.3203963667507, 381.55413810262087, 359.0951828112801, 350.0043606252933, 347.94825711805896]"
25000,"[469.8283868285956, 374.2627217774688, 315.7018719998731, 339.46858818873534, 345.35966742655984]"
27500,"[439.03642195423805, 333.3678331326769, 288.07642249815456, 319.16237167666173, 285.1932377956386]"
30000,"[454.8813284176901, 359.3023548812471, 328.7534711308896, 355.4045332579553, 313.27391617709037]"
32500,"[427.3102835691736, 313.4107498572413, 290.3038238357851, 298.70893588599785, 267.4751111749237]"
35000,"[533.8908568268193, 528.6696227593809, 520.5827550362611, 503.18001090402464, 562.9649373703681]"
37500,"[435.8544276816887, 389.88301444777414, 392.4461539461345, 369.59226436255454, 372.7842742171951]"
