iteration,trainRMSE
0,"[1030.1753962936248, 1030.2081195207095, 1030.549419802578, 1029.1509989637918, 1027.7654436052862, 1027.105677510248, 1018.7801621481531, 1023.8225923181967, 1023.2642046091507, 1023.7396992283551]"
100,"[957.4273985370502, 921.8640966287328, 921.3677240259893, 919.8729356589195, 918.6330378282914, 918.0259715681581, 909.5654866117441, 914.5945231814165, 914.1972894994938, 914.5776811494255]"
200,"[809.6120785157973, 812.2986919194879, 812.2459796691606, 811.1123758445659, 810.2717474347448, 809.78824133012, 801.5266318813991, 806.16437151412, 805.9836923448592, 806.1064853715227]"
300,"[773.882107950478, 774.7930442736629, 774.6519770106034, 773.8847403464433, 773.559661146466, 773.2871242442435, 765.9723450356416, 769.7786639712439, 769.8625653729744, 769.6465801329907]"
400,"[772.6154348342536, 774.4647795175107, 774.7204823240211, 773.920056365877, 773.5852338154916, 773.2787154061779, 765.9745308250673, 769.7667588260617, 769.8338776613267, 769.6419025046454]"
