iteration,trainRMSE
0,"[2704.53444190686, 2704.710138573399, 2704.960831461303, 2705.0358594767163, 2705.05123685574, 2705.0613555207265, 2705.0614601052885, 2710.9733602382403, 2710.9921932579773, 2710.9863518653133]"
10,"[2701.746743514991, 2701.2729753193626, 2701.3241010629727, 2701.304439560785, 2701.272114516732, 2701.2789511908713, 2701.2784409983356, 2707.1561545704835, 2707.1729947655167, 2707.1675881373017]"
20,"[2699.5633464083026, 2699.334823465599, 2699.4492499533653, 2699.443172366406, 2699.414898658053, 2699.4221632241943, 2699.422212555809, 2705.2831443909386, 2705.299208656448, 2705.294107299705]"
30,"[2697.694602947476, 2697.5553022396603, 2697.672493519166, 2697.668159189904, 2697.6407582949096, 2697.647555543257, 2697.6476086566645, 2703.4920689809805, 2703.5072480800095, 2703.502385846501]"
40,"[2695.4067363896183, 2695.039183844898, 2695.1407306506712, 2695.134598445391, 2695.1072425053, 2695.1129572398127, 2695.1128553102403, 2700.9333154995907, 2700.9471688809435, 2700.9426309020287]"
50,"[2692.6979889260597, 2692.481903678986, 2692.5775648950876, 2692.572507592152, 2692.5464998369434, 2692.5516751171026, 2692.551690792732, 2698.3475510164008, 2698.3601158714514, 2698.3559539886896]"
60,"[2690.11884555852, 2689.9480536138653, 2690.0453344559382, 2690.0418114367335, 2690.016775009549, 2690.021160912775, 2690.0211659960096, 2695.792148981283, 2695.8033835924143, 2695.799578493705]"
70,"[2687.3490581405254, 2687.2196712809723, 2687.3182035533173, 2687.31576846669, 2687.2917266268805, 2687.295239188528, 2687.2952308320423, 2693.0388283700627, 2693.0486023022854, 2693.045188660272]"
80,"[2684.469088213361, 2684.3240230236697, 2684.4149157242823, 2684.412733503981, 2684.3896379317885, 2684.392179787661, 2684.3921532831396, 2690.1058840253813, 2690.114070761067, 2690.111082566575]"
90,"[2681.4267353666883, 2681.2672049387215, 2681.349433907923, 2681.347586647097, 2681.3255263705546, 2681.3270224400844, 2681.326976570808, 2687.0083277484946, 2687.0148007882367, 2687.0122719380356]"
100,"[2678.1999435326557, 2678.0593598613905, 2678.1359676756215, 2678.1350725431494, 2678.1141884755725, 2678.114575309805, 2678.1145079753337, 2683.760944211193, 2683.7655768197346, 2683.7635412933514]"
