iteration,trainRMSE
0,"[1052.5445392020924, 1052.5270521820805, 1052.9012178561716, 1052.9044076413277, 1055.9493133696176]"
10,"[1046.8555251314658, 1045.4340810079225, 1045.493848540423, 1045.4357678441731, 1048.446466197721]"
20,"[1041.4263266473474, 1040.536173818822, 1040.6995427245927, 1040.6689270110583, 1043.651086539013]"
30,"[1036.82640955378, 1035.951196029894, 1036.131038462141, 1036.1099373158097, 1039.07321459702]"
40,"[1031.6630896875388, 1030.7943957871435, 1030.9630164686484, 1030.9421941124951, 1033.8794699156726]"
50,"[1025.7259668663814, 1024.8422418146254, 1025.0042419254687, 1024.9843969658698, 1027.889062785802]"
60,"[1019.6265479408472, 1018.7590717218563, 1018.9012488318837, 1018.8791837122593, 1021.7466056784341]"
70,"[1013.3556092305848, 1012.4257687883884, 1012.5365407783435, 1012.5108687199645, 1015.3352396008362]"
80,"[1007.0299351730209, 1005.9815236551927, 1006.0503992234034, 1006.0198159201705, 1008.7949485691678]"
90,"[1000.7045039537078, 999.5621790390372, 999.590088889721, 999.5547476994946, 1002.2741637518355]"
100,"[994.4195599316613, 993.3122847131324, 993.3152901790739, 993.2771891772493, 995.9341735675155]"
110,"[988.496490379786, 987.425958376031, 987.4036698889122, 987.363463214102, 989.9504758043477]"
120,"[983.1233965377312, 982.0972743330567, 982.0474791315344, 982.0046676152978, 984.5136255506269]"
130,"[978.4325551105669, 977.5194124311621, 977.4503695968764, 977.4060818751453, 979.8286061299406]"
140,"[974.5805471609257, 973.9208464768856, 973.8321456436366, 973.7864423957037, 976.1136890317041]"
150,"[971.849507012932, 971.5016411129245, 971.4190998713416, 971.3758831425346, 973.5990239943118]"
160,"[970.3056960999184, 970.4837559193343, 970.4515386953827, 970.4109092959651, 972.5244159904752]"
170,"[969.7287784187914, 970.4650484714931, 970.5230893977769, 970.5096423032522, 972.5684828767495]"
180,"[969.8513092133102, 970.241575957941, 970.1577168790012, 970.2050951078943, 972.251879031997]"
190,"[969.9957037142353, 970.2397651483823, 970.0672490574266, 969.7560353974575, 971.7587331913387]"
200,"[968.5915656281422, 969.1068628705516, 969.2660579350219, 969.2048832353377, 971.0747940636345]"
210,"[967.9953767431913, 968.8074702295598, 968.8753928043171, 968.8288095242897, 970.6691239157853]"
220,"[967.6574704842006, 968.2476648898039, 968.1030345783727, 968.3095709932015, 969.8736850598466]"
230,"[965.6428653898311, 967.1565134255869, 967.2143011751938, 967.1454036938633, 969.3066076569166]"
240,"[965.4506881282731, 966.6800010692898, 966.7036901278805, 966.8049669311065, 969.0431941998713]"
250,"[964.7569462290132, 966.4193885928117, 966.4418159333771, 966.4058939165413, 968.4874366777836]"
260,"[964.3898013618078, 965.9726380782371, 965.8152099247178, 966.1972404183748, 968.0768363045848]"
270,"[964.5496179149604, 965.429652860578, 965.2792615963382, 965.9492877548342, 967.9418938096509]"
280,"[964.1630095480173, 965.414484521862, 965.4502669912217, 965.6783354753203, 967.5586371228808]"
290,"[963.5169858841523, 964.7177890663665, 964.6705954260967, 965.2886628605332, 967.2507623413621]"
300,"[962.4505497275732, 964.2819267063766, 964.3017273516174, 964.4518380477526, 966.1976666231234]"
310,"[962.3677165155057, 964.1403230099581, 963.8444391813682, 964.3645719791921, 966.1874152565913]"
320,"[961.9405201090763, 963.740724240033, 963.364646458708, 964.0692717380947, 965.4996973092335]"
