iteration,trainLoss,testLoss,trainRMSE-avg,testRMSE-avg
0,830001.4,650991.06,911.04,806.7988
2500,530491.8,447972.5,728.34,669.2247
5000,503567.38,454462.44,709.43,674.1138
7500,489570.03,463663.44,699.22,680.7835
10000,474701.6,494961.5,688.23,703.2665
12500,460027.66,530842.2,676.65,727.6155
15000,460189.4,485395.3,677.78,696.1765
17500,443208.8,552846.25,665.63,742.1768
20000,418844.72,610910.06,646.68,780.1796
22500,513054.66,467707.0,715.95,682.8443
25000,472665.84,531204.6,685.17,722.0391
27500,433655.5,492123.44,654.21,700.8966
30000,432984.66,549053.75,655.14,738.06
32500,414361.22,537172.25,639.78,730.4628
35000,391570.75,546009.94,620.67,737.3507
37500,462281.72,510245.66,678.69,713.7809
40000,413586.1,616716.2,639.82,782.1121
42500,395865.12,722561.56,625.16,844.0046
45000,376402.16,752600.6,607.67,855.7594
47500,373505.72,610592.56,605.18,779.3872
