,Incident Type,Response Time,minute
6492,Structural+AC0-Collapse,86.93333333333334,60
2366,Structural+AC0-Construction Fence,67.66666666666667,60
6405,Structural+AC0-Car Into House,283.1166666666667,60
6671,Structural+AC0-Confined Space,44.0,60
6611,Structural+AC0-Falling Debris,203.63333333333333,60
2423,Structural+AC0-Stability Problem,184.63333333333333,60
6539,Structural+AC0-Stability Problem,4546.6,60
2486,Structural+AC0-Bricks,120.91666666666667,60
2503,Structural+AC0-Car Into a Building,62.60000000000001,60
6571,Structural+AC0-Collapse,2159.7333333333336,60
2511,Structural+AC0-Car Into Building,89.35,60
2512,Structural+AC0-Falling Debris,50.56666666666667,60
6540,Structural+AC0-Partial Collapse,542.2333333333333,60
6576,Structural+AC0-Construction Accident,116.2,60
2527,Structural+AC0-Scaffold,118.11666666666666,60
2538,Structural+AC0-Construction Accident,84.75,60
2541,Structural+AC0-DOB Schedule Vacate,1463.8666666666666,60
6642,Structural+AC0-Collapse,3562.766666666667,60
6451,Structural+AC0-Collapse,107.3,60
2548,Structural+AC0-Collapse,2460.983333333333,60
2553,Structural+AC0-Life Safety Violations,6234.0,60
2555,Structural+AC0-Elevator Incident,48.38333333333333,60
2558,Structural+AC0-Collapse,80.03333333333333,60
2570,Structural+AC0-Falling Debris,163.95,60
2581,Structural+AC0-Scaffold,103.88333333333334,60
2586,Structural+AC0-Scaffold,89.83333333333333,60
2618,Structural+AC0-Collapse,6129.583333333333,60
2644,Structural+AC0-Stability Problem,6234.0,60
2616,Structural+AC0-Scaffold,352.4166666666667,60
2639,Structural+AC0-Cracks,67.01666666666668,60
2651,Structural+AC0-Construction Accident,94.36666666666666,60
2650,Structural+AC0-Construction Accident,34.2,60
6464,Structural+AC0-Scaffold,127.43333333333335,60
2653,Structural+AC0-Construction Accident,529.0166666666668,60
6484,Structural+AC0-Car into Building,144.63333333333333,60
2672,Structural+AC0-Scaffold,40.55,60
6692,Structural+AC0-Collapse,592.9,60
2692,Structural+AC0-Collapse,848.55,60
2695,Structural+AC0-Car into Building,105.05,60
2702,Structural+AC0-Construction Accident,23.683333333333334,60
2708,Structural+AC0-Partial Collapse,291.71666666666664,60
2718,Structural+AC0-Falling Debris,56.45,60
6630,Structural+AC0-Construction Accident,106.26666666666667,60
6745,Structural+AC0-Falling Debris,567.7166666666667,60
2720,Structural+AC0-Street Collapse,47.35,60
2721,Structural+AC0-Collapse,156.48333333333332,60
3750,Structural+AC0-Street Collapse,6234.0,60
3201,Structural+AC0-Street Collapse,1674.8666666666666,60
6746,Structural+AC0-Collapse,6234.0,60
6506,Structural+AC0-Scaffold,230.0,60
2729,Structural+AC0-Collapse,1462.1666666666667,60
6606,Structural+AC0-Street Collapse,1193.65,60
6681,Structural+AC0-Street Collapse,6234.0,60
2733,Structural+AC0-Scaffold,500.1333333333334,60
6624,Structural+AC0-Stability Problem,933.0666666666667,60
2735,Structural+AC0-Construction Accident,93.7,60
2739,Structural+AC0-Partial Collapse,1073.2666666666669,60
2752,Structural+AC0-Street Collapse,466.3333333333333,60
6682,Structural+AC0-Construction Accident,79.78333333333333,60
2762,Structural+AC0-Collapse,2361.7166666666667,60
2780,Structural+AC0-Falling Debris,317.55,60
6543,Structural+AC0-Street Collapse,6234.0,60
2788,Structural+AC0-Falling Debris,2405.8166666666666,60
2806,Structural+AC0-Construction Accident,101.3,60
6607,Structural+AC0-Partial Collapse,399.6666666666667,60
2815,Structural+AC0-Stability Problem,50.916666666666664,60
2836,Structural+AC0-Undermining,1930.3333333333333,60
6650,Structural+AC0-Life Safety Violations,1561.0666666666666,60
2840,Structural+AC0-Sidewalk Shed,424.1666666666667,60
2844,Structural+AC0-Car Into Building,913.25,60
2866,Structural+AC0-Collapse,4587.6,60
2863,Structural+AC0-Scaffold,88.81666666666666,60
2864,Structural+AC0-Falling Debris,74.48333333333333,60
2885,Structural+AC0-Car into Building,831.8333333333334,60
2895,Structural+AC0-Sidewalk Collapse,1242.8833333333334,60
2906,Structural+AC0-Retaining Wall,1469.6166666666666,60
2904,Structural+AC0-Car Into Building,51.05,60
2908,Structural+AC0-Collapse,1457.8833333333334,60
2927,Structural+AC0-Vacate,489.8833333333334,60
2926,Structural+AC0-Construction Accident,39.1,60
6803,Structural+AC0-Falling Debris,6234.0,60
6574,Structural+AC0-Unstable Building,6234.0,60
2976,Structural+AC0-Stability Problem,6234.0,60
2930,Structural+AC0-Life Safety Violations,193.86666666666667,60
2932,Structural+AC0-Evacuation,1517.2666666666667,60
2933,Structural+AC0-Vacate,671.8,60
6596,Structural+AC0-Collapse,1285.7333333333333,60
2945,Structural+AC0-Life Safety Violations,263.68333333333334,60
6768,Structural+AC0-Stability Problem,291.93333333333334,60
2951,Structural+AC0-Partial Collapse,532.4166666666667,60
6610,Structural+AC0-Cracks,259.2666666666667,60
6778,Structural+AC0-Collapse,16.76666666666667,60
2978,Structural+AC0-Scaffold,152.68333333333334,60
6830,Structural+AC0-Life Safety Violations,6234.0,60
2984,Structural+AC0-Confined Space,70.05,60
6829,Structural+AC0-Collapse,4927.833333333333,60
3005,Structural+AC0-Crane,113.15,60
6769,Structural+AC0-Collapse,3804.8333333333335,60
3036,Structural+AC0-Collapse,3975.0500000000006,60
3009,Structural+AC0-Partial Collapse,1015.4500000000002,60
3033,Structural+AC0-Construction Accident,40.983333333333334,60
3039,Structural+AC0-Life Safety Violations,296.0833333333333,60
3041,Structural+AC0-Evacuation,9.6,60
3084,Structural+AC0-Life Safety Violations,9.3,60
3108,Structural+AC0-Scaffold,108.63333333333334,60
3111,Structural+AC0-Crane,788.4,60
3164,Structural+AC0-Stability Problem,6234.0,60
3118,Structural+AC0-Scaffold,48.56666666666667,60
3120,Structural+AC0-Stability Problem,102.03333333333333,60
6626,Structural+AC0-Scaffold,153.06666666666666,60
