,Incident Type,Response Time,minute
2230,Utility+AC0-Phone Outage,2951.0,60
2162,Utility+AC0-Water Main,228.71666666666667,60
2189,Utility+AC0-Sewer Service,1234.1333333333334,60
2190,Utility+AC0-Water Main,1494.1833333333334,60
2191,Utility+AC0-Water Service Line,926.6166666666667,60
6618,Utility+AC0-Water Pipe,2951.0,60
2193,Utility+AC0-Water Main,1279.7333333333333,60
2194,Utility+AC0-Water Condition,1250.3,60
6588,Utility+AC0-Water Condition,2951.0,60
2203,Utility+AC0-Water Main,539.1333333333334,60
2218,Utility+AC0-Gas Service Line,63.050000000000004,60
2222,Utility+AC0-Water Main,849.3,60
2258,Utility+AC0-Gas High Pressure,431.0833333333333,60
2262,Utility+AC0-Power Outage,144.55,60
6654,Utility+AC0-Power Outage,91.1,60
6372,Utility+AC0-Water Main,361.6,60
2267,Utility+AC0-Power Outage,180.86666666666667,60
2270,Utility+AC0-Water Main,97.7,60
2273,Utility+AC0-Power Outage,60.966666666666676,60
2275,Utility+AC0-Water Condition,61.800000000000004,60
2276,Utility+AC0-Transformer,139.35,60
2279,Utility+AC0-Sewer Service,111.81666666666666,60
6437,Utility+AC0-Water Main,144.35,60
2284,Utility+AC0-Water Main,74.6,60
2295,Utility+AC0-Manhole,603.85,60
6639,Utility+AC0-Water Main,100.61666666666666,60
2311,Utility+AC0-Odor of Gas,57.96666666666667,60
2314,Utility+AC0-Power Outage,154.56666666666666,60
2329,Utility+AC0-Water Main,1217.3,60
2331,Utility+AC0-Gas High Pressure,1215.4833333333333,60
2338,Utility+AC0-Water Main,799.8666666666667,60
2340,Utility+AC0-Water Main,58.166666666666664,60
2362,Utility+AC0-Water Main,2951.0,60
2420,Utility+AC0-Water Main,2171.7500000000005,60
2422,Utility+AC0-Transformer,39.36666666666667,60
2474,Utility+AC0-Water Service Line,516.9000000000001,60
6394,Utility+AC0-Water Service Line,2708.6833333333334,60
6518,Utility+AC0-Water Main,2054.366666666667,60
6591,Utility+AC0-Water Main,1151.5833333333333,60
6420,Utility+AC0-Gas Electric Condition,345.93333333333334,60
2506,Utility+AC0-Steam Condition,1301.1166666666666,60
2502,Utility+AC0-Transformer,435.8833333333333,60
6656,Utility+AC0-Manhole,680.45,60
2535,Utility+AC0-Water Service Line,288.46666666666664,60
2539,Utility+AC0-Power Outage,440.31666666666666,60
6503,Utility+AC0-Water Main,792.2666666666667,60
6665,Utility+AC0-Water Main,562.0166666666667,60
6478,Utility+AC0-Water Main,2951.0,60
2549,Utility+AC0-Gas Main Rupture,120.88333333333334,60
6505,Utility+AC0-Item Retrieval,79.65,60
6519,Utility+AC0-Gas Main Rupture,79.53333333333333,60
6439,Utility+AC0-Gas Low Pressure,2951.0,60
2584,Utility+AC0-Water Main,2951.0,60
6438,Utility+AC0-Water Main,445.43333333333334,60
2587,Utility+AC0-Water Service Line,50.583333333333336,60
2602,Utility+AC0-Power Outage,286.55,60
2619,Utility+AC0-Water Main,1360.1333333333334,60
6567,Utility+AC0-Power Outage,278.5833333333333,60
2646,Utility+AC0-Sewer Service,2315.4166666666665,60
6691,Utility+AC0-Manhole,35.56666666666667,60
2661,Utility+AC0-Water Service Line,1228.45,60
2662,Utility+AC0-Gas High Pressure,116.36666666666666,60
6621,Utility+AC0-Water Main,1430.3833333333334,60
2666,Utility+AC0-Water Main,902.95,60
6530,Utility+AC0-Water Main,527.9666666666667,60
2682,Utility+AC0-Power Outage,2951.0,60
2670,Utility+AC0-Water Main,128.58333333333334,60
2694,Utility+AC0-Water Main,839.65,60
2693,Utility+AC0-Water Main,124.86666666666669,60
2703,Utility+AC0-Gas High Pressure,111.25,60
2707,Utility+AC0-Water Main,1037.0666666666668,60
2711,Utility+AC0-Manhole,1753.3833333333334,60
2710,Utility+AC0-Power Outage,1044.4833333333333,60
6727,Utility+AC0-Network Condition,2254.7166666666667,60
6694,Utility+AC0-Electric Feeder Cable,2089.8,60
6693,Utility+AC0-Power Outage,525.0000000000001,60
6714,Utility+AC0-Power Outage,949.9833333333333,60
6532,Utility+AC0-Manhole,610.2333333333333,60
2727,Utility+AC0-Power Outage,115.15,60
6658,Utility+AC0-Power Outage,580.2,60
2751,Utility+AC0-Water Main,1651.8,60
6516,Utility+AC0-Water Service Line,192.91666666666666,60
2753,Utility+AC0-Water Main,500.16666666666674,60
2757,Utility+AC0-Gas Service Line,108.35,60
2779,Utility+AC0-Water Main,888.2,60
2786,Utility+AC0-Water Main,78.51666666666667,60
6728,Utility+AC0-Water Main,21.216666666666665,60
3063,Utility+AC0-Manhole,2951.0,60
2814,Utility+AC0-Gas Low Pressure,2951.0,60
6635,Utility+AC0-Water Main,837.7666666666667,60
6608,Utility+AC0-Power Outage,476.85,60
2837,Utility+AC0-Partial Power Outage,135.23333333333335,60
2846,Utility+AC0-Internal Water/Steam Condition,645.65,60
6544,Utility+AC0-Manhole,374.46666666666664,60
2874,Utility+AC0-Power Outage,1742.7166666666667,60
2884,Utility+AC0-Ravenswood Power Plant,120.28333333333333,60
6545,Utility+AC0-Power Outage,589.2666666666667,60
2888,Utility+AC0-Sewer Service,106.88333333333334,60
6625,Utility+AC0-Manhole,10.45,60
6792,Utility+AC0-Gas Main Rupture,116.1,60
2901,Utility+AC0-Power Outage,72.98333333333333,60
2905,Utility+AC0-Power Outage,1342.1166666666666,60
2924,Utility+AC0-Gas Main Rupture,87.76666666666667,60
2942,Utility+AC0-Gas Main Rupture,42.516666666666666,60
2946,Utility+AC0-Water Service Line,1173.3166666666666,60
6636,Utility+AC0-Power Outage,246.0666666666667,60
2950,Utility+AC0-Other,110.2,60
2955,Utility+AC0-Water Main,1230.4166666666667,60
2974,Utility+AC0-Water Service Line,893.1,60
3004,Utility+AC0-Water Main,833.1666666666666,60
6756,Utility+AC0-Power Outage,154.06666666666666,60
3003,Utility+AC0-Water Main,264.7166666666667,60
6645,Utility+AC0-Primary Wires on Fire,38.05,60
3081,Utility+AC0-Power Outage,2951.0,60
3007,Utility+AC0-Power Outage,386.75,60
3032,Utility+AC0-Power Outage,2951.0,60
3031,Utility+AC0-Gas Service Line,2714.133333333333,60
3026,Utility+AC0-Water Service Line,1910.1,60
3083,Utility+AC0-Power Outage,2951.0,60
3025,Utility+AC0-Water Main,115.33333333333333,60
6735,Utility+AC0-Power Outage,177.46666666666667,60
3035,Utility+AC0-No Utilities,664.45,60
3037,Utility+AC0-Generator issue,69.28333333333333,60
3038,Utility+AC0-Water Condition,138.65,60
6582,Utility+AC0-Electric Overhead,305.93333333333334,60
3064,Utility+AC0-Gas Main Rupture,55.31666666666667,60
3085,Utility+AC0-Water Main,59.95,60
3089,Utility+AC0-Water Main,259.3166666666667,60
3095,Utility+AC0-Power Outage,82.46666666666667,60
6757,Utility+AC0-Power Outage,76.53333333333333,60
6584,Utility+AC0-Gas Service Line,55.766666666666666,60
6840,Utility+AC0-Water Main,179.88333333333333,60
3119,Utility+AC0-Water Service Line,404.45,60
3126,Utility+AC0-Gas Main Rupture,1117.4833333333333,60
3143,Utility+AC0-Steam Main,1402.35,60
6685,Utility+AC0-Gas Odor,89.55,60
6867,Utility+AC0-Sewer Service,2951.0,60
3151,Utility+AC0-Possible Gas Main Leak,428.21666666666664,60
3160,Utility+AC0-Possible Power Interruption at Hospital,209.05,60
3161,Utility+AC0-Light Pole,171.46666666666667,60
3172,Utility+AC0-Power Outage,150.5,60
3176,Utility+AC0-Water Main,1331.05,60
6729,Utility+AC0-Light Pole,116.08333333333333,60
3188,Utility+AC0-Water Service Line,868.1833333333333,60
3194,Utility+AC0-Gas Service Line,24.566666666666666,60
3198,Utility+AC0-Water Main,2951.0,60
3197,Utility+AC0-Manhole,135.51666666666668,60
6759,Utility+AC0-Water Main,29.95,60
3231,Utility+AC0-Defective Electrical Service,1599.2166666666667,60
3245,Utility+AC0-Water Main,483.48333333333335,60
3246,Utility+AC0-Water Main,1830.3833333333334,60
6633,Utility+AC0-Water Main,545.2833333333334,60
6797,Utility+AC0-Water Main,2951.0,60
3250,Utility+AC0-Water Main,2951.0,60
3249,Utility+AC0-Water Main,41.21666666666667,60
3264,Utility+AC0-Water Main,1026.0166666666669,60
3266,Utility+AC0-Unsafe Power Source,1791.2666666666667,60
6895,Utility+AC0-Power Outage,85.71666666666667,60
6779,Utility+AC0-Power Outage,31.600000000000005,60
3280,Utility+AC0-Manhole,2409.3,60
6720,Utility+AC0-Water Main,60.85000000000001,60
3281,Utility+AC0-Gas High Pressure,946.9333333333333,60
3284,Utility+AC0-Gas Service Line,66.93333333333334,60
6653,Utility+AC0-Leaning Light Tower,179.26666666666668,60
6674,Utility+AC0-Water Main,850.5166666666667,60
3295,Utility+AC0-Gas Service Line,461.31666666666666,60
3300,Utility+AC0-Water Main,64.58333333333334,60
3304,Utility+AC0-Gas Service Line,61.70000000000001,60
6798,Utility+AC0-Electric Feeder Cable,1963.6833333333336,60
3312,Utility+AC0-Steam Main,48.11666666666667,60
3319,Utility+AC0-Water Main,1467.3166666666666,60
3333,Utility+AC0-Water Main,2951.0,60
3336,Utility+AC0-Water Main,1595.3,60
6708,Utility+AC0-Gas High Pressure,85.53333333333333,60
3341,Utility+AC0-Gas Service Line,114.95,60
3356,Utility+AC0-Water Main,1937.0333333333333,60
6701,Utility+AC0-Power Outage,408.96666666666664,60
6882,Utility+AC0-Power Outage,2951.0,60
6676,Utility+AC0-Water Main,329.26666666666665,60
3389,Utility+AC0-Power Outage,637.6833333333333,60
6799,Utility+AC0-Water Main,1308.7166666666667,60
6857,Utility+AC0-Power Outage,131.55,60
6927,Utility+AC0-Transformer,1739.2666666666667,60
6858,Utility+AC0-Electric Feeder Cable,564.9333333333333,60
6883,Utility+AC0-Power Outage,47.15,60
3487,Utility+AC0-Downed Utility Pole,115.81666666666666,60
6955,Utility+AC0-Power Outage,96.73333333333333,60
6956,Utility+AC0-Power Outage,54.03333333333333,60
6848,Utility+AC0-Water Main,1135.3166666666666,60
6763,Utility+AC0-Water Main,1601.3,60
3533,Utility+AC0-Water Condition,168.15,60
3537,Utility+AC0-Water Main,1104.1333333333334,60
6731,Utility+AC0-Water Main,813.7833333333333,60
6723,Utility+AC0-Sink Hole,2951.0,60
6874,Utility+AC0-Water Main,138.5,60
6822,Utility+AC0-Network Condition,459.71666666666664,60
6935,Utility+AC0-Gas Service Line,65.46666666666667,60
6742,Utility+AC0-Water Main,1651.95,60
6726,Utility+AC0-Gas Service Line,97.08333333333333,60
3607,Utility+AC0-Power Outage,179.61666666666667,60
3608,Utility+AC0-Water Main,1206.9166666666667,60
6743,Utility+AC0-Power Outage,540.0166666666668,60
3609,Utility+AC0-Power Outage,423.73333333333335,60
3610,Utility+AC0-Power Outage,1022.5333333333334,60
6884,Utility+AC0-Air Conditioner,218.95,60
6947,Utility+AC0-HVAC System,52.68333333333333,60
6886,Utility+AC0-Power Outage,378.4,60
3641,Utility+AC0-Electric Feeder Cable,667.4833333333333,60
3640,Utility+AC0-Electric Feeder Cable,34.45,60
6988,Utility+AC0-Power Outage,156.68333333333334,60
6899,Utility+AC0-Power Outage,395.5,60
6784,Utility+AC0-Power Outage,1141.5666666666666,60
3655,Utility+AC0-Power Outage,324.4,60
3656,Utility+AC0-Power Outage,2862.1833333333334,60
3663,Utility+AC0-Power Outage,299.18333333333334,60
6785,Utility+AC0-Electric Overhead,71.08333333333333,60
3666,Utility+AC0-Oil Feeder,495.80000000000007,60
6860,Utility+AC0-Water Main,1014.4500000000002,60
3731,Utility+AC0-Water Main,1434.2666666666667,60
6918,Utility+AC0-Power Outage,75.41666666666667,60
6861,Utility+AC0-Electric Feeder Cable,2951.0,60
3737,Utility+AC0-Power Outage,31.41666666666667,60
6937,Utility+AC0-Water Service Line,171.1,60
6901,Utility+AC0-Water Main,916.05,60
3774,Utility+AC0-Gas High Pressure,338.23333333333335,60
6789,Utility+AC0-Transformer,24.25,60
6852,Utility+AC0-Car Down Elevator Shaft,301.25,60
3780,Utility+AC0-Water Main,1551.6666666666667,60
3784,Utility+AC0-Gas High Pressure,404.81666666666666,60
6863,Utility+AC0-Water Main,1667.7,60
6862,Utility+AC0-Water Main,195.43333333333334,60
3797,Utility+AC0-Water Main,1406.2833333333333,60
6878,Utility+AC0-Water Main,966.9666666666667,60
3801,Utility+AC0-Water Main,1213.95,60
3880,Utility+AC0-Water Service Line,2951.0,60
7020,Utility+AC0-Water Main,338.68333333333334,60
6933,Utility+AC0-Water Main,2951.0,60
3807,Utility+AC0-Water Service Line,122.28333333333335,60
6922,Utility+AC0-Broken Pipe,2951.0,60
6921,Utility+AC0-Water Main,1129.0333333333333,60
3828,Utility+AC0-Power Outage,1901.9666666666667,60
