iteration,trainRMSE
0,"[1008.4604973635023, 1006.5206401682563, 1090.6306822245667, 1090.7059057312733, 1090.6687816261267, 1090.6410331864931, 1090.857111388474, 1090.860301288406, 1094.1763796948692, 1094.196639287243]"
10,"[1005.1200639762726, 1000.0387035638353, 1082.4608527031419, 1081.9469207058396, 1081.7772459499288, 1081.7097635752175, 1081.899608313559, 1081.898159593434, 1085.146310195947, 1085.1464551628706]"
20,"[1004.377758031487, 994.7579396712626, 1077.1170751013703, 1076.9571368106365, 1076.9139235112236, 1076.9042849009315, 1077.1130260872455, 1077.1116165269018, 1080.331333853707, 1080.3294767951288]"
30,"[1001.5281338793054, 990.0716517611789, 1073.3343992623309, 1073.216497913498, 1073.1849468683884, 1073.178749463152, 1073.3749069100495, 1073.385472544203, 1076.5762792514413, 1076.5786619931584]"
40,"[999.4715704942427, 985.7152508572073, 1069.1927848578412, 1069.0745663209677, 1069.041833947225, 1069.0373718845985, 1069.2358270998693, 1069.235777026605, 1072.3998704176802, 1072.3994459502935]"
50,"[996.9197201503346, 981.0922376737036, 1064.8289492811998, 1064.7369301075776, 1064.7192694286434, 1064.7247463382796, 1064.926449529995, 1064.932448435831, 1068.071509290803, 1068.0759785015214]"
60,"[994.3138368959014, 976.5803334054305, 1060.1365368021668, 1059.9781763323383, 1059.9480703586974, 1059.9461406327307, 1060.1362591376633, 1060.1357229328853, 1063.2342787937139, 1063.2355453202745]"
70,"[990.5944835971183, 971.626185291052, 1055.346723537887, 1055.1812837348389, 1055.15437645291, 1055.1528926648623, 1055.338858854624, 1055.3366299665759, 1058.3969468916362, 1058.3961395857536]"
80,"[986.6529770837872, 966.8246782379249, 1050.5812684268676, 1050.3905910858591, 1050.3655818520142, 1050.3644299823582, 1050.5400466530543, 1050.542460044413, 1053.560998509613, 1053.5609573195711]"
90,"[983.2650894409279, 961.9274432362238, 1045.6786931438469, 1045.4662343092878, 1045.4397694684367, 1045.442151693476, 1045.6139229798364, 1045.610816919681, 1048.5836975860284, 1048.5848118649963]"
100,"[979.6241466855424, 956.9512559416023, 1040.784207120657, 1040.5604010318934, 1040.5371425068954, 1040.541418787286, 1040.7063403495195, 1040.7022260520823, 1043.6264663378226, 1043.6281857932797]"
110,"[975.5268924326962, 952.0555996320053, 1035.9238917524485, 1035.6850063136342, 1035.6642823113236, 1035.6704420156316, 1035.8280104759704, 1035.8228013694102, 1038.6943067373677, 1038.69618326054]"
120,"[972.134770922936, 946.7167405469078, 1030.6545631920385, 1030.4111880676185, 1030.395858489151, 1030.4045859539256, 1030.5536140257323, 1030.547324324645, 1033.3561919332305, 1033.3586518106906]"
130,"[967.2189138222709, 941.8227802263799, 1025.9172599003962, 1025.6825962050916, 1025.674346561931, 1025.6857249439004, 1025.8260989268388, 1025.8183700533118, 1028.563977205984, 1028.5665829631257]"
140,"[961.1962858287721, 937.267137782241, 1021.400856089322, 1021.1661887660852, 1021.1631979992861, 1021.1771942386443, 1021.308442825828, 1021.2993905414261, 1023.9771858890991, 1023.9801346931807]"
150,"[955.8671550545408, 933.0083676923133, 1017.1666940646849, 1016.932022552852, 1016.9351051981998, 1016.9518505977288, 1017.0734429141764, 1017.06304837212, 1019.668106524665, 1019.6714969165242]"
160,"[950.526302824173, 929.1723099956143, 1013.2957926862524, 1013.0636362438287, 1013.0736177421217, 1013.0933000492532, 1013.2046762494194, 1013.1928285520381, 1015.7203380909896, 1015.7243360165828]"
170,"[946.2205007690286, 925.7543414959492, 1009.8342802711325, 1009.6054669331816, 1009.6226595085972, 1009.6454314954548, 1009.7459798410517, 1009.7325822659665, 1012.1766818587013, 1012.1809540478573]"
180,"[940.949857042669, 922.86031806297, 1006.8785862328513, 1006.6641917258157, 1006.6902633250021, 1006.717099128956, 1006.8097653449, 1006.8005112319901, 1009.1622752148199, 1009.1709871734588]"
190,"[935.9880107927072, 920.5895544447781, 1004.5137850360201, 1004.31931609723, 1004.3554279077598, 1004.385203938766, 1004.4626449353194, 1004.446060941885, 1006.708347651066, 1006.7135958413005]"
200,"[932.0623761328692, 918.9821637764284, 1002.7947789208979, 1002.627900183797, 1002.6750147423667, 1002.7086914243944, 1002.7736676764289, 1002.7554650568319, 1004.9181874182739, 1004.9240287556817]"
210,"[927.9829150829161, 918.1625352831618, 1001.8258731118103, 1001.696460804692, 1001.7526179025185, 1001.7920894801163, 1001.8408387395451, 1001.8235495922006, 1003.8790245234163, 1003.8887676531707]"
220,"[925.3238017626297, 917.8885031808788, 1001.4958855915926, 1001.5888300101361, 1001.5538603269692, 1001.644130036276, 1001.7741093478196, 1001.6032926086773, 1003.5633173162805, 1003.5828997815643]"
230,"[924.3858261747173, 917.7884554981287, 1000.9777225817431, 1001.7440166084601, 1001.305676168828, 1001.597022453904, 1001.8367498545886, 1001.2557067197833, 1003.4637443030148, 1003.3953660232995]"
240,"[922.7286501716625, 917.7880743031684, 1000.7960993690314, 1001.6351285833073, 1000.9821080189206, 1001.3160165023563, 1002.0665949170403, 1001.3421958439221, 1003.3345140946151, 1003.3313698582955]"
250,"[921.8060719617886, 917.682609563385, 1001.064150562753, 1001.7881891438741, 1001.0303468139845, 1001.8381199879503, 1001.7247281712686, 1001.2359275165708, 1002.7954480557831, 1003.7260804443304]"
260,"[921.432006422975, 917.7196630443015, 1000.7832357669618, 1001.880953409527, 1001.021783680231, 1001.3267941536435, 1002.3076442261533, 1000.8777620395629, 1002.8196822778715, 1003.2165351898817]"
270,"[920.7235324851121, 917.6841725385536, 1000.6276008797676, 1002.0403988363345, 1000.7488781036603, 1001.4595466074097, 1001.6956610396605, 1000.8381795940406, 1002.8575900872016, 1003.4295132220373]"
280,"[920.5227460779848, 917.5090959399339, 1000.9088636122381, 1001.8276989908048, 1001.1524189640093, 1001.3852269650814, 1001.8049828122267, 1001.1482458767362, 1003.0957342440449, 1003.2738790403556]"
290,"[920.1739336574918, 917.6094071472186, 1000.3974995612501, 1002.0517043207861, 1001.0943870005677, 1001.6768879831351, 1001.6040776097914, 1001.1002966202716, 1003.0993642932052, 1003.2149550170572]"
300,"[920.8741903472786, 917.8034906623902, 1000.3284022840221, 1002.0523652028172, 1000.6812662202274, 1001.7952192538667, 1001.3499636857171, 1000.4874445979664, 1002.4956757937724, 1003.127602393773]"
