iteration,trainRMSE
0,"[1008.9398217551319, 1006.5714774592061, 1090.698259681862, 1090.7913917070496, 1090.784037973641, 1090.7830116422122, 1091.008285833322, 1091.0179734278631, 1094.323221604183, 1094.3278208218987]"
10,"[1007.3162148618675, 1004.532112686016, 1088.6121220238092, 1088.6766045551444, 1088.655436634278, 1088.6477406692118, 1088.8656701749362, 1088.8694361224686, 1092.1572047051925, 1092.155797534287]"
20,"[1004.847408484211, 1002.3831553254472, 1086.631357598507, 1086.7173525189637, 1086.702534651951, 1086.6967378507761, 1086.9134394944335, 1086.9169465715006, 1090.1934391655475, 1090.191835223634]"
30,"[1002.7947703571737, 1000.1659649953488, 1084.4073462437318, 1084.4617300392536, 1084.4387899876099, 1084.4306790857395, 1084.6444062524658, 1084.6474947930958, 1087.9107513242404, 1087.909555923723]"
40,"[1000.2748520175356, 997.5822604905928, 1081.9303161124305, 1081.9995434840478, 1081.9852417187099, 1081.9807655825787, 1082.1933464047847, 1082.1964705159944, 1085.4451915797608, 1085.444154369721]"
50,"[997.5459127512457, 994.7589142471828, 1079.1839812106296, 1079.247989536161, 1079.2347261129744, 1079.2309464984435, 1079.4409843099288, 1079.4437098433175, 1082.675507650482, 1082.6745937492062]"
60,"[994.4802419150865, 991.6267677852463, 1076.1400695697894, 1076.1987549062521, 1076.1867720524915, 1076.1837925919765, 1076.3909427411554, 1076.3932148926633, 1079.6056886105475, 1079.6049146528487]"
70,"[991.029774267858, 988.1975901987939, 1072.8199202063704, 1072.8749454927813, 1072.8646532990563, 1072.8626085350468, 1073.066523314369, 1073.0682874940887, 1076.2589714539163, 1076.2583546270807]"
80,"[987.4235038583229, 984.5293620838298, 1069.253008222081, 1069.3022752757317, 1069.2936235952009, 1069.2925778657736, 1069.4928963347418, 1069.4941022142166, 1072.6604539715338, 1072.6600101744232]"
90,"[983.6166829529952, 980.6412343935759, 1065.4649698100352, 1065.5074821758535, 1065.500588834414, 1065.5006314773768, 1065.6969911047738, 1065.6975790742767, 1068.8369812706728, 1068.836727202038]"
100,"[979.6086731453951, 976.5587279107402, 1061.4836356155665, 1061.5190236391782, 1061.5140805938809, 1061.5153133062552, 1061.7073393691987, 1061.7072616351247, 1064.8169941885928, 1064.816946753184]"
110,"[975.427716324009, 972.3135747385736, 1057.3390983274119, 1057.3671144839589, 1057.3643244022157, 1057.3668500491704, 1057.5541661688915, 1057.5533652906795, 1060.630602534357, 1060.630778523386]"
